,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu7780,3.759398496,0,0,0,0,0,0,0,0,8.547008547,0,8.620689655,4,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,0,0,0,14.63414634,0,0,0
Zotu266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.7272727,0,0,0,0,0,0,0
Zotu934,41.35338346,0,178.5714286,0,947.3684211,356.4356436,0,0,3.95256917,0,0,0,0,0,0,36.76470588,0,0,0,172.4137931,0,0,0,0,0,22.72727273,0,0,0,0,0,0,0
Zotu219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100,0,0,27.27272727,0,0,0,0,0,0,0
Zotu1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36363636,243.5897436,0,295.4545455,0,0,0,0
Zotu4836,11.27819549,0,71.42857143,0,421.0526316,79.20792079,0,0,0,0,0,0,0,0,0,7.352941176,0,0,0,86.20689655,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809.090909,14365.38462,0,0,0,0,0,0
Zotu2930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,0
Zotu353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu39,0,0,0,0,26.31578947,1297.029703,565.2173913,0,15.81027668,0,3.984063745,0,0,25,0,0,0,31.74603175,978.7234043,17.24137931,0,0,4820,0,44.94382022,1945.454545,1262.820513,83.33333333,0,2790.243902,1300,536.5853659,0
Zotu600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1031,18.79699248,0,0,19.3236715,0,9.900990099,0,17.09401709,3.95256917,8.547008547,19.92031873,0,12,12.5,0,0,0,0,0,0,0,54.05405405,0,0,0,0,0,0,11.36363636,0,0,0,0
Zotu254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu651,26.31578947,0,0,0,0,0,0,0,47.43083004,0,75.69721116,0,184,350,935.828877,0,91.74311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3882,11.27819549,0,0,4.830917874,0,0,65.2173913,51.28205128,35.57312253,51.28205128,11.95219124,60.34482759,4,0,0,95.58823529,0,15.87301587,21.27659574,0,0,0,100,34.48275862,0,0,25.64102564,0,0,102.4390244,0,0,0
