,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,49B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu62,0,0,0,0,0,0.363834819,0.36814333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085128118,0,0,0,0,0,0,0,0,0,0,0
Zotu2586,0.701262272,0,0.018645237,0,0,1.091504457,0.245428887,0.033571692,0,1635.643564,0.238151941,0,9.345794393,892.3171861,1415.841584,0.098313916,0,1.694915254,1.207729469,0,1.123595506,0,0,566.9882101,587.2949969,0.033634927,0,0,0,0,946.6051417,2.819548872,1.343183345
Zotu2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933982205,1.074317492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu93,0,0,0,0.037169194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu43,0,0,0,0,0,0,0,0,0,408.4158416,0,0,0,472.6936131,374.3335872,0,0,1.694915254,0,0.046842796,0,0,0,140.4072883,138.260328,0,1.009244681,0,0.01502991,0,393.5398813,0,30.22162525
Zotu67,0,0,0,0,0,0,0,0,0,228.2178218,0,0,1.869158879,116.6306695,185.0723534,0.049156958,0,0.847457627,0,0,0,0,0,130.7609861,82.00124559,0,0,0,0,0,173.3684904,0,0
Zotu4519,0,0,0,0,0.034429334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu45,0,0,0,0,1.101738681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046842796,0,0,0,0,0,22.3335912,9.890597877,3.235790658,16.05194337,0,0,0.939849624,0
Zotu290,0,0,0,0,1.859184025,0,0,0,0,0,0,0.06992518,0,0,0,0,0,0.847457627,0,0.187371182,0,0,0,0,0,0.941777942,0.88813532,1.125492403,0.871734752,0,0,0,0
Zotu30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046842796,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu36,0,0,0,0,0,0.181917409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu52,6.311360449,0.048093108,0.018645237,0.037169194,3.71836805,0,0,0,0,0,0,2.027830222,0,0,0.380807312,0,0,0,0,7.026419337,0,0,1.828008266,0,0,3.094413239,2.05885915,1.547552054,1.593170409,0,0.659195781,0,0.671591672
Zotu174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11900037,1.493682128,2.110298255,1.638260138,0,0,0,0
Zotu736,8.415147265,0.144279325,0.018645237,0.037169194,5.026682734,1.637256685,10.30801325,0.369288616,0,0.495049505,0.714455823,0.41955108,3.738317757,0.308546745,0,0,0,0,0,0.327899569,0,0,0.794786203,0,0,0,0.040369787,77.9403489,0.060119638,0,3.295978906,2.819548872,2.014775017
Zotu87,0,0,0,0.037169194,1.514890687,0,0,0.033571692,0.038978757,0,0,0,0,0,0,0,0,0,0,0.046842796,0,0,0,0,0,17.2547173,8.921722983,5.486775464,12.02392762,0.03609978,0,0,0
Zotu2510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54072654,0.695146613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu51,4.207573633,0,0,0,0.068858668,0.181917409,0.122714443,0,0,0.495049505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067269853,0.040369787,0,0.01502991,0,0,0,0
Zotu215,0,0,0,0,0.72301601,0,0,0,0,0,0,0.55940144,0,0,0,0,0,0,0,0.374742365,0,0,1.112700684,0,0,0.77360331,0.44406766,0.562746201,0.420837467,0,0,0.939849624,0
Zotu323,0,0,0,0,0.241005337,0,0,0,0,0,0.047630388,0.978952521,0,0,0,0,0,0,0,1.826869028,1.123595506,0,0.397393101,0,0,0.067269853,0.121109362,0,0.180358914,0,0,0.939849624,0
Zotu107,0,0,0,0,0.068858668,0,0,0,0,0,0,0.06992518,0,0,0,0,0,0,0,0.749484729,0,0,0,0,0,0,0,0,0.01502991,0,0,0,0
Zotu66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063195147,0,0,0,0,0,0.07947862,0,0,9.24960479,5.611400428,1.406865504,3.607178285,0,0,0,0
Zotu80,0,0,0,0,0.482010673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.390636036,3.552541278,3.095104108,4.253464394,0,0,0,0
Zotu109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4410,0,0,0,0,22.37906697,4.547935237,22.5794576,0,0,0,0,0,0,0,0,0,0,0,0,0.046842796,0,0,0.07947862,0,0,0,0,0.14068655,0,0,0,6.578947368,5.372733378
Zotu2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.376394829,0.947927199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130610038,1.263902932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639040456,0.947927199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786511331,0.821536906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.457847908,2.717391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933982205,1.074317492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688197414,0.631951466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu261,0,0,0,0,0.241005337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046842796,0,0,0,0,0,0.807238236,2.906624682,0,0.541076743,0,0,0,0
Zotu1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.015435285,2.780586451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393255665,0.315975733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.868016548,3.148843406,3.095104108,3.351669823,0,0,0,0
Zotu1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737354373,0.505561173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835668289,1.390293225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56530221,4.319567236,0,6.207352632,0,0,0,0
Zotu3696,0,0,0,0,0,305.0754957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.752789657,1.769464105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3899,0,0.048093108,0,0,8.710621449,22.55775878,92.2812615,0.067143385,0,0.495049505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.591957811,19.73684211,25.52048355
Zotu2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393255665,0.631951466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.178341444,4.360465116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu243,0,0,0,0,0,9.823540113,7.853724383,0,0,0,0,0,48.59813084,0,0,1.179766996,1.074317492,5.93220339,17.51207729,0,26.96629213,2.72409977,0,0,0,0,0,0,0,0,0,27.2556391,10.07387508
Zotu2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688197414,0.821536906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603864734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu70,0,0,0,0,0,82.77242132,48.84034851,0,0,0,0,0,401.8691589,0,0,7.471857641,6.382709808,278.8135593,166.0628019,0,141.5730337,18.55792968,0,0,0,0,0,0,0,0,0,234.0225564,96.03760913
Zotu4288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245784791,0.37917088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.915695817,4.929221436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589883498,0.884732053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.179766996,0.695146613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu721,0,0,0,0,0,0,0,0,0,2.97029703,0,0,0,4.936747917,7.235338919,0,0,0,0,0,0,0,0,0.535905681,1.868382811,0,0,0,0,0,0.659195781,0,0
Zotu244,0,0,0,0,0,26.19610697,26.01546202,0,0,0,0,0,164.4859813,0,0,4.227498402,3.159757331,19.49152542,68.84057971,0,39.3258427,11.23691155,0,0,0,0,0,0,0,0,0,74.2481203,22.83411686
Zotu3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147470875,0.442366026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294941749,0.442366026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639040456,0.631951466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425551787,1.706268959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196627833,0.505561173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu177,0,0,0,0,0,0,0,0,0,19.30693069,0,0,0,32.39740821,55.59786748,0,0,0,0,0,0,0,0,13.9335477,8.303923604,0,0,0,0,0,14.50230719,0,9.402283412
Zotu253,0,0,0,0,0,0,0,0,0,0,0,0.06992518,0,0,0,17.30324927,18.83215369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281056773,0,0,0.715307582,0,0,0,0,0,0,0,0,0,0
Zotu420,0.701262272,32.17428942,6.302090131,23.5652691,0,0,0,0,0,0,0,16.85196839,0,0,0,0,0,0,0,13.06913997,0,0,31.47353362,0,0,0,0,0,0,9.999639002,0,0,0
Zotu2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589883498,0.884732053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
