,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,4.716981132,6.451612903,0,41.66666667,0,0,0,0
Zotu54,0,0,0,0,0,0,0,0,0,0,55.55555556,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5
Zotu1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu299,21.73913043,0,0,0,0,0,0,0,0,0,0,0,0,6.289308176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.578947368
Zotu255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.578947368
Zotu1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.90322581,0,0,0,0,0,0
Zotu1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64102564,0,0,11.62790698,0,4.716981132,0,0,0,0,23.80952381,16.94915254,0
Zotu1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu455,65.2173913,146.3414634,0,56.33802817,269.8412698,0,57.47126437,17.24137931,102.0408163,17.24137931,27.77777778,44.44444444,54.79452055,0,114.2857143,33.33333333,99.00990099,36.61327231,0,153.8461538,28.57142857,45.45454545,34.88372093,0,4.716981132,25.80645161,297.2972973,13.88888889,48.19277108,23.80952381,0,23.02631579
Zotu11137,21.73913043,0,0,14.08450704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
