,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9198,35.71428571,0,0,111.1111111,0,0,0,0,8.333333333,14.92537313,0,0,47.61904762,0,0,0,52.63157895,0,0,23.4375,0,0,63.2183908,0,0,0,79.36507937,20,0,0,0,28.57142857
Zotu5831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2973.684211,0,0,0,0,28.34008097,0,0,0,0,0,0
Zotu7780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Zotu934,0,656.25,523.8095238,0,208.6956522,254.6583851,1898.305085,161.6161616,0,0,136.9863014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.24291498,11.9047619,0,0,278.6885246,0,0
Zotu219,0,0,0,0,0,0,0,0,0,0,0,8246.376812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4836,0,187.5,85.71428571,0,60.86956522,43.47826087,525.4237288,60.60606061,0,0,27.39726027,0,9.523809524,0,0,0,0,0,0,0,0,0,0,0,0,4.048582996,0,0,0,106.557377,0,0
