	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id
Zotu9519	Bacteria	Cyanobacteria	Cyanobacteriia						0
Zotu952	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales					0
Zotu9520	Bacteria	Gemmatimonadota	Gemmatimonadota Bd2-11_terrestrial_group						0
Zotu9521	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae				0
Zotu9523	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella			0
Zotu9524	Bacteria	Bacteroidota	Bacteroidia	Cytophagales					0
Zotu9525	Bacteria	Planctomycetota	Planctomycetota Vadinha49						0
Zotu9526	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum			0
Zotu9527	Bacteria	Bacteroidota	Bacteroidia	Cytophagales					0
Zotu9528	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu9529	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu953	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculales Ps1_clade				0
Zotu9531	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae				0
Zotu9532	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella			0
Zotu9533	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter			0
Zotu9534	Bacteria	Cyanobacteria	Vampirivibrionia	Caenarcaniphilales					0
Zotu9535	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus			0
Zotu9536	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella			0
Zotu9537	Bacteria	Bacteroidota	Bacteroidia						0
Zotu9538	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales					0
Zotu9539	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu9540	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu9541	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinus			0
Zotu9542	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccaceae C1-b045			0
Zotu9543	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu9544	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus			0
Zotu9545	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales Dev007				0
Zotu9546	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae				0
Zotu9547	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae				0
Zotu9548	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter			0
Zotu9549	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu955	Bacteria	Cyanobacteria	Cyanobacteriia						0
Zotu9551	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae				0
Zotu9554	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu9555	Bacteria								0
Zotu9557	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae				0
Zotu9558	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae				0
Zotu9559	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina			0
Zotu9560	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales					0
Zotu9561	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales					0
Zotu9562	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
