	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU_ID	Isolate	Isolate_percent_id
Zotu1285	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	NA	Zotu1285	NA	0
Zotu1522	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	NA	Zotu1522	NA	0
Zotu1083	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	NA	Zotu1083	NA	0
Zotu3039	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	NA	NA	Zotu3039	NA	0
Zotu2000	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	NA	Zotu2000	NA	0
Zotu3820	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	NA	NA	Zotu3820	NA	0
Zotu3906	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	NA	NA	Zotu3906	NA	0
Zotu1153	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu1153	NA	0
Zotu1696	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu1696	NA	0
Zotu4263	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4263	NA	0
Zotu6137	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6137	NA	0
Zotu1540	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu1540	NA	0
Zotu5244	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5244	NA	0
Zotu6192	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6192	NA	0
Zotu5864	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5864	NA	0
Zotu5625	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5625	NA	0
Zotu6765	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6765	NA	0
Zotu3332	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3332	NA	0
Zotu9003	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Verrucocladosporium	Verrucocladosporium dirinae	Zotu9003	NA	0
Zotu3800	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3800	NA	0
Zotu4178	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4178	NA	0
Zotu4490	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA	Zotu4490	NA	0
Zotu7160	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7160	NA	0
Zotu3198	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3198	NA	0
Zotu7087	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7087	NA	0
Zotu2679	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu2679	NA	0
Zotu5207	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5207	NA	0
Zotu7017	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7017	NA	0
Zotu4701	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4701	NA	0
Zotu6214	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6214	NA	0
Zotu3177	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3177	NA	0
Zotu9025	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu9025	NA	0
Zotu5345	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5345	NA	0
Zotu8903	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu8903	NA	0
Zotu4618	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4618	NA	0
Zotu8537	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu8537	NA	0
Zotu3726	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3726	NA	0
Zotu3372	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3372	NA	0
Zotu7605	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7605	NA	0
Zotu4413	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4413	NA	0
Zotu3729	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3729	NA	0
Zotu1534	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Phaeophleospora	NA	Zotu1534	NA	0
Zotu4487	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4487	NA	0
Zotu7933	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7933	NA	0
Zotu7316	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7316	NA	0
Zotu3749	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3749	NA	0
Zotu6673	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6673	NA	0
Zotu4635	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4635	NA	0
Zotu9429	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu9429	NA	0
Zotu6671	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6671	NA	0
Zotu2358	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Phaeophleospora	NA	Zotu2358	NA	0
Zotu7707	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7707	NA	0
Zotu7806	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7806	NA	0
Zotu6144	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA	Zotu6144	NA	0
Zotu6886	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6886	NA	0
Zotu5802	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5802	NA	0
Zotu6105	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6105	NA	0
Zotu9412	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu9412	NA	0
Zotu7779	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7779	NA	0
Zotu7883	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7883	NA	0
Zotu6378	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6378	NA	0
Zotu9456	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu9456	NA	0
Zotu4133	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4133	NA	0
Zotu7619	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7619	NA	0
Zotu5634	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5634	NA	0
Zotu9322	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu9322	NA	0
Zotu6631	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6631	NA	0
Zotu8309	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu8309	NA	0
Zotu6872	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6872	NA	0
Zotu40	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA	Zotu40	NA	0
Zotu438	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA	Zotu438	NA	0
Zotu495	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	NA	Zotu495	NA	0
Zotu1373	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA	Zotu1373	NA	0
Zotu2651	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA	Zotu2651	NA	0
Zotu771	Fungi	Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA	Zotu771	NA	0
Zotu562	Fungi	Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA	Zotu562	NA	0
Zotu1397	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	NA	Zotu1397	NA	0
Zotu1581	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	NA	Zotu1581	NA	0
Zotu2441	Fungi	Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA	Zotu2441	NA	0
Zotu2241	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	NA	Zotu2241	NA	0
Zotu2537	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	NA	Zotu2537	NA	0
Zotu2099	Fungi	Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA	Zotu2099	NA	0
Zotu2520	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	NA	Zotu2520	NA	0
Zotu7175	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	NA	Zotu7175	NA	0
Zotu2247	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	NA	NA	Zotu2247	NA	0
Zotu2953	Fungi	Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA	Zotu2953	NA	0
Zotu7598	Fungi	Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA	Zotu7598	NA	0
Zotu5770	Fungi	Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA	Zotu5770	NA	0
Zotu934	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu934	NA	0
Zotu4836	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4836	NA	0
Zotu212	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Dothiora	NA	Zotu212	NA	0
Zotu922	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu922	NA	0
Zotu1293	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu1293	NA	0
Zotu5656	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5656	NA	0
Zotu2896	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2896	NA	0
Zotu305	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Dothiora	NA	Zotu305	NA	0
Zotu3215	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3215	NA	0
Zotu2368	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2368	NA	0
Zotu8517	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8517	NA	0
Zotu3480	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3480	NA	0
Zotu7741	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7741	NA	0
Zotu8364	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8364	NA	0
Zotu8471	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8471	NA	0
Zotu1496	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu1496	NA	0
Zotu7431	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7431	NA	0
Zotu3653	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3653	NA	0
Zotu1976	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu1976	NA	0
Zotu1675	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	NA	Zotu1675	NA	0
Zotu4103	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4103	NA	0
Zotu2079	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2079	NA	0
Zotu1009	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	NA	Zotu1009	NA	0
Zotu1115	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu1115	NA	0
Zotu2807	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2807	NA	0
Zotu2964	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2964	NA	0
Zotu7898	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7898	NA	0
Zotu3864	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3864	NA	0
Zotu2831	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2831	NA	0
Zotu3275	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3275	NA	0
Zotu7435	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7435	NA	0
Zotu3809	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3809	NA	0
Zotu1775	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu1775	NA	0
Zotu8458	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8458	NA	0
Zotu9390	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu9390	NA	0
Zotu2623	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2623	NA	0
Zotu2702	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2702	NA	0
Zotu4539	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4539	NA	0
Zotu2376	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2376	NA	0
Zotu2563	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2563	NA	0
Zotu7947	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7947	NA	0
Zotu2763	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2763	NA	0
Zotu1668	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu1668	NA	0
Zotu4937	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4937	NA	0
Zotu4514	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4514	NA	0
Zotu4504	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4504	NA	0
Zotu6979	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6979	NA	0
Zotu9117	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu9117	NA	0
Zotu4979	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4979	NA	0
Zotu5669	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5669	NA	0
Zotu2875	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2875	NA	0
Zotu3650	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3650	NA	0
Zotu3781	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3781	NA	0
Zotu3901	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3901	NA	0
Zotu3512	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3512	NA	0
Zotu6869	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6869	NA	0
Zotu5660	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5660	NA	0
Zotu2010	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2010	NA	0
Zotu3432	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3432	NA	0
Zotu1806	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu1806	NA	0
Zotu6220	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6220	NA	0
Zotu2994	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2994	NA	0
Zotu7852	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7852	NA	0
Zotu3470	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3470	NA	0
Zotu7372	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7372	NA	0
Zotu6845	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6845	NA	0
Zotu6897	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6897	NA	0
Zotu8813	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8813	NA	0
Zotu5178	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5178	NA	0
Zotu6947	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6947	NA	0
Zotu7795	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7795	NA	0
Zotu4647	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4647	NA	0
Zotu6435	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6435	NA	0
Zotu3544	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu3544	NA	0
Zotu4255	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4255	NA	0
Zotu4870	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4870	NA	0
Zotu9156	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu9156	NA	0
Zotu5134	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5134	NA	0
Zotu7546	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7546	NA	0
Zotu6888	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6888	NA	0
Zotu9279	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu9279	NA	0
Zotu5392	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5392	NA	0
Zotu8634	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8634	NA	0
Zotu2269	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu2269	NA	0
Zotu7835	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7835	NA	0
Zotu8787	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8787	NA	0
Zotu5071	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5071	NA	0
Zotu9066	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu9066	NA	0
Zotu7081	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7081	NA	0
Zotu7410	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7410	NA	0
Zotu6717	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6717	NA	0
Zotu5232	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5232	NA	0
Zotu6551	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6551	NA	0
Zotu4506	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4506	NA	0
Zotu8194	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8194	NA	0
Zotu7638	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7638	NA	0
Zotu6884	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6884	NA	0
Zotu4752	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4752	NA	0
Zotu8754	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8754	NA	0
Zotu6515	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6515	NA	0
Zotu7197	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7197	NA	0
Zotu7146	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7146	NA	0
Zotu6934	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6934	NA	0
Zotu6716	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6716	NA	0
Zotu7027	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7027	NA	0
Zotu5693	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5693	NA	0
Zotu7896	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7896	NA	0
Zotu5503	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu5503	NA	0
Zotu8708	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8708	NA	0
Zotu8371	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8371	NA	0
Zotu6509	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6509	NA	0
Zotu7529	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7529	NA	0
Zotu9199	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu9199	NA	0
Zotu6384	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6384	NA	0
Zotu6172	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6172	NA	0
Zotu7719	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7719	NA	0
Zotu6707	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu6707	NA	0
Zotu7612	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu7612	NA	0
Zotu8816	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8816	NA	0
Zotu8563	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8563	NA	0
Zotu4889	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu4889	NA	0
Zotu8223	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA	Zotu8223	NA	0
Zotu2069	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	NA	Zotu2069	NA	0
Zotu8102	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu8102	Mortierella_alpina|KOD1047|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina	98.5
Zotu717	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu717	Mortierella_alpina|KOD1047|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina	98
Zotu915	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu915	Mortierella_alpina|KOD1047|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina	97.5
Zotu258	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu258	Mortierella_alpina|KOD1047|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina	91.133
Zotu597	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu597	JL73	91.089
Zotu621	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu621	JL73	91.089
Zotu363	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu363	JL73	91.045
Zotu158	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu158	Mortierella_alpina|KOD1047|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina	91.045
Zotu425	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu425	JL73	91.045
Zotu313	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu313	Mortierella_alpina|KOD1047|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina	90.64
Zotu306	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu306	JL73	90.594
Zotu751	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Zotu751	JL73	90.594
